,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
673,829,FSA,FSA Group Ltd,Financials,$139.21 M,FSA.AX,6.76,0.22817134941302417
674,831,EGN,Engenco Ltd,Industrials,$138.82 M,EGN.AX,-17.76,0.5332729572255753
675,832,FOR,Forager Australian Shares Fund,Financials,$138.74 M,FOR.AX,-23.95,0.2368804963611475
676,833,BOC,Bougainville Copper Ltd,Materials,$138.37 M,BOC.AX,-33.65,1.4360689823635864
677,834,CAU,Cronos Australia Ltd,Health Care,$137.66 M,CAU.AX,127.27,0.8992810374323453
678,835,RKN,Reckon Ltd,Information Technology,$137.65 M,RKN.AX,54.78,0.5667040795237593
679,837,ADO,Anteotech Ltd,Health Care,$137.16 M,ADO.AX,-74.91,1.157014178628062
680,839,EPY,Earlypay Ltd,Financials,$136.39 M,EPY.AX,1.06,0.3799247261437635
681,840,ANO,Advance Zinctek Ltd,Materials,$135.52 M,ANO.AX,-40.27,0.5770804529328678
682,841,TRS,The Reject Shop Ltd,Consumer Discretionary,$135.29 M,TRS.AX,-35.7,0.513583744731156
683,842,LEG,Legend Mining Ltd,Materials,$135 M,LEG.AX,-51.0,0.7087237161954794
684,843,MTO,Motorcycle Holdings Ltd,Consumer Discretionary,$134.52 M,MTO.AX,-22.7,0.3932642731588764
685,844,CNB,Carnaby Resources Ltd,Materials,$134.44 M,CNB.AX,165.71,1.407774451590532
686,845,CLG,Close the Loop Ltd,Industrials,$134.18 M,CLG.AX,33.33,0.7190563135868944
687,846,AND,Ansarada Group Ltd,Information Technology,$134 M,AND.AX,32.74,0.5930441924742667
688,847,ANG,Austin Engineering Ltd,Industrials,$133.8 M,ANG.AX,64.29,0.593882169486925
689,848,DTZ,DOTZ Nano Ltd,Information Technology,$133.4 M,DTZ.AX,-13.04,0.668772160936828
690,850,EGR,Ecograf Ltd,Materials,$132.85 M,EGR.AX,-48.7,0.8447915546607117
691,851,GTK,Gentrack Group Ltd,Information Technology,$132.63 M,GTK.AX,-30.89,0.4673698029842819
692,852,A2B,A2B Australia Ltd,Industrials,$132.14 M,A2B.AX,-9.17,0.34785581649838804
693,853,RDT,Red Dirt Metals Ltd,Materials,$130.96 M,RDT.AX,152.94,1.3730687024491561
694,854,CYL,Catalyst Metals Ltd,Materials,$129.96 M,CYL.AX,-32.65,0.38542227113802746
695,855,CNEW,Vaneck China New Economy ETF,Financials,$128.99 M,CNEW.AX,-12.87,0.2539904882757513
696,856,WXHG,SPDR S&P World Ex Aus Carbon Control (Hedged) Fund,Financials,$128.79 M,WXHG.AX,-13.31,0.2784554187724507
697,857,FLC,Fluence Corporation Ltd,Industrials,$128.48 M,FLC.AX,1.28,0.6864359595243739
698,858,WAT,Waterco Ltd,Consumer Discretionary,$127.78 M,WAT.AX,24.14,0.25038071443605125
699,859,ART,Airtasker Ltd,Communication Services,$127.64 M,ART.AX,-73.39,0.548961201960201
700,860,ACF,Acrow Formwork and Construction Services Ltd,Industrials,$127.57 M,ACF.AX,31.58,0.39347052240102237
701,861,ARA,Ariadne Australia Ltd,Industrials,$127.56 M,ARA.AX,18.18,0.35350538632320816
702,862,LRS,Latin Resources Ltd,Materials,$127.38 M,LRS.AX,37.5,1.196300167458587
703,863,NTD,National Tyre & Wheel Ltd,Consumer Discretionary,$127.32 M,NTD.AX,-10.23,0.39100782819674806
704,864,SSG,Shaver Shop Group Ltd,Consumer Discretionary,$127.08 M,SSG.AX,-2.51,0.26375069193099404
705,865,IVZ,Invictus Energy Ltd,Energy,$126.91 M,IVZ.AX,6.25,0.8476792595763004
706,866,G6M,Group 6 Metals Ltd,Materials,$126.15 M,G6M.AX,-16.67,0.793945314420641
707,867,AVL,Australian Vanadium Ltd,Materials,$126.11 M,AVL.AX,68.42,1.0826405979235951
708,868,TGF,Tribeca Global Natural Resources Ltd,Financials,$126.08 M,TGF.AX,-8.48,0.36212597408668645
709,869,QIP,QANTM Intellectual Property Ltd,Industrials,$125.81 M,QIP.AX,-21.12,0.3015387308600453
710,870,AR1,Austral Resources Australia Ltd,Materials,$125.06 M,AR1.AX,155.0,1.023001104590403
711,871,DRE,Dreadnought Resources Ltd,Materials,$124.9 M,DRE.AX,83.33,0.8333261289199086
712,872,CLNE,Vaneck Global Clean Energy ETF,Financials,$124.56 M,CLNE.AX,-16.02,0.32508732706804966
713,873,RDG,Resource Development Group Ltd,Industrials,$124.06 M,RDG.AX,-6.52,0.7352708692438341
714,874,CYG,Coventry Group Ltd,Industrials,$123.43 M,CYG.AX,-5.59,0.4033850172346181
715,875,FWD,Fleetwood Ltd,Consumer Discretionary,$123.4 M,FWD.AX,-41.52,0.453635324780101
716,876,CD3,CD Private Equity Fund Iii,Financials,$123.17 M,CD3.AX,13.25,0.42082517792704943
717,877,DSE,Dropsuite Ltd,Information Technology,$122.74 M,DSE.AX,-5.26,0.699275282377202
718,878,CKA,Cokal Ltd,Materials,$122.06 M,CKA.AX,124.14,0.7315658238655567
719,879,M7T,MACH7 Technologies Ltd,Health Care,$121.8 M,M7T.AX,-51.43,0.5344968931865777
